"marsrutas","sustojimo data","M","BendrasAtstumas","BendrasSvoris","BendrasLaikas","BendraKaina"
38,2018-01-11,1,45.665,323.4,"06:25",42.98
38,2018-01-12,1,52.689,383.65,"07:13",34.18
38,2018-01-15,1,48.585,414.9,"05:56",27.78
38,2018-01-16,1,70.502,428.5,"07:34",38.28
38,2018-01-17,1,40.209,359.1,"06:44",34.08
38,2018-01-18,1,53.845,494.7,"07:31",32.55
38,2018-01-19,1,48.401,527.15,"06:58",39.02
38,2018-01-22,1,49.604,323.3,"07:06",31.89
38,2018-01-23,1,54.595,304.06,"06:59",38.64
38,2018-01-24,1,54.115,536.35,"07:21",38.02
38,2018-01-25,1,51.52,528.25,"07:19",34.39
38,2018-01-26,1,36.593,341.12,"06:08",32.86
38,2018-01-29,1,30.507,388.4,"05:55",25.17
38,2018-01-30,1,26.351,398.33,"07:48",30.93
38,2018-01-31,1,42.643,329.1,"06:50",33.02
39,2018-01-02,1,0,751.45,"08:40",35.9
39,2018-01-03,1,68.798,1141.29,"11:24",47.99
39,2018-01-04,1,33.247,900.35,"09:07",40.89
39,2018-01-05,1,23.356,507.73,"08:36",32.12
39,2018-01-15,1,16.234,1282.79,"08:15",39.29
41,2018-01-02,1,69.606,309.85,"08:32",21.34
41,2018-01-03,1,73.421,191.36,"08:12",22.49
41,2018-01-04,1,75.525,402.1,"08:47",27.67
41,2018-01-05,1,93.927,521.99,"08:50",27.46
41,2018-01-08,1,106.143,344.43,"08:22",20.22
41,2018-01-09,1,88.224,349.09,"09:43",28.13
41,2018-01-10,1,95,285.17,"10:04",28.73
41,2018-01-11,1,118.315,615.42,"10:44",28.98
41,2018-01-12,1,88.376,214.89,"09:04",21.21
41,2018-01-15,1,87.448,373.24,"07:44",23.82
41,2018-01-16,1,74.426,304.19,"08:03",26.51
41,2018-01-17,1,90.503,307.29,"09:43",27.89
41,2018-01-18,1,87.442,412.5,"08:24",22.63
41,2018-01-19,1,111.947,244.17,"09:52",18.73
41,2018-01-22,1,128.283,286.78,"09:35",18.62
41,2018-01-23,1,87.227,325.55,"08:58",26.09
41,2018-01-24,1,83.041,477.45,"09:15",31.03
41,2018-01-30,1,65.293,202.11,"10:56",45.49
43,2018-01-03,1,168.535,987.5,"11:23",55.15
43,2018-01-04,1,146.71,1372.03,"09:15",59.27
43,2018-01-05,1,134.718,870.09,"08:06",45.08
43,2018-01-08,1,132.387,1057.35,"08:43",47.02
43,2018-01-09,1,124.454,990.04,"09:06",53.2
43,2018-01-10,1,139.514,1009.89,"08:19",55.32
43,2018-01-11,1,127.65,712.37,"08:48",47.43
43,2018-01-12,1,125.676,703.89,"08:43",52.25
43,2018-01-15,1,124.119,812.35,"08:36",43.92
43,2018-01-16,1,126.781,858.46,"08:35",51.4
43,2018-01-17,1,139.279,744.24,"08:06",46.49
43,2018-01-18,1,134.004,682.23,"08:13",46.19
43,2018-01-19,1,113.976,845.93,"08:12",48.95
43,2018-01-22,1,100.34,582.31,"08:30",39.37
43,2018-01-23,1,120.718,932.38,"08:33",53.36
43,2018-01-24,1,119.918,1090.72,"08:09",49.75
43,2018-01-25,1,125.969,652.79,"07:44",47.65
43,2018-01-26,1,114.399,716.19,"08:10",48.47
43,2018-01-29,1,114.112,371.34,"07:44",41.48
43,2018-01-30,1,108.339,1045.75,"08:16",54.25
44,2018-01-02,1,65.964,665.7,"09:04",27.35
44,2018-01-03,1,87.89,594.1,"11:49",43.85
44,2018-01-04,1,74.744,696.83,"08:36",39.62
44,2018-01-05,1,65.886,775.38,"09:30",42.5
44,2018-01-08,1,75.424,617.65,"08:28",33.68
44,2018-01-09,1,63.151,567.47,"08:03",40.26
44,2018-01-10,1,70.125,648.9,"08:33",38.94
44,2018-01-11,1,70.135,703.1,"08:58",39.11
44,2018-01-12,1,29.033,902.32,"08:41",43.13
44,2018-01-15,1,59.313,436.31,"08:18",25.94
44,2018-01-16,1,95.777,639.7,"10:35",44.34
44,2018-01-17,1,80.484,862.25,"08:49",41.69
44,2018-01-18,1,75.805,721.26,"08:19",40.44
44,2018-01-19,1,64.246,420.65,"07:53",32.9
44,2018-01-22,1,73.931,723.55,"08:34",36.9
44,2018-01-23,1,69.402,681.3,"08:22",43.26
44,2018-01-24,1,64.503,505.59,"08:10",30.54
44,2018-01-25,1,62.869,604.7,"08:10",37.05
44,2018-01-26,1,71.198,1134.7,"08:25",40.63
44,2018-01-29,1,68.585,517.21,"09:05",32.58
44,2018-01-30,1,72.933,691.12,"08:40",49.31
44,2018-01-31,1,67.862,596.9,"08:16",94.35
47,2018-01-09,1,91.628,421.8,"10:27",22.49
47,2018-01-10,1,30.911,202.7,"08:07",20.78
47,2018-01-11,1,110.971,385.55,"07:59",15.38
47,2018-01-12,1,138.273,775,"09:22",25.28
47,2018-01-15,1,139.792,698,"09:33",23.69
47,2018-01-16,1,111.568,811.3,"09:07",29.27
47,2018-01-17,1,131.787,833.65,"09:34",22.29
47,2018-01-18,1,105.957,832.3,"09:34",25.5
47,2018-01-19,1,118.98,504.97,"09:30",25.14
47,2018-01-22,1,95.518,873.35,"09:33",22.83
47,2018-01-23,1,123.971,768.85,"09:57",28.49
47,2018-01-24,1,113.635,600.61,"09:50",25.7
47,2018-01-25,1,125.456,769.68,"09:36",28.34
47,2018-01-26,1,118.424,528.38,"09:53",23.25
47,2018-01-29,1,126.732,876.1,"09:30",22.55
47,2018-01-30,1,127.705,737.95,"09:30",27.99
47,2018-01-31,1,123.991,786.84,"09:34",27.91
48,2018-01-02,1,107.108,407.25,"08:25",32.62
48,2018-01-03,1,110.198,724.6,"08:18",40.75
48,2018-01-04,1,111.102,1212.77,"08:45",45.17
48,2018-01-05,1,115.326,809.49,"08:39",38.75
48,2018-01-08,1,127.889,674.39,"08:40",40.28
48,2018-01-09,1,115.13,667.34,"08:39",35.59
48,2018-01-10,1,121.186,874.22,"08:33",39.4
48,2018-01-11,1,163.549,928.22,"12:05",50.92
48,2018-01-12,1,103.06,593.43,"08:44",37
48,2018-01-15,1,115.284,569.78,"08:42",37.54
48,2018-01-16,1,105.591,608.9,"08:26",39.44
48,2018-01-17,1,109.706,713.8,"08:12",38.17
48,2018-01-18,1,110.493,831.01,"08:37",40.68
48,2018-01-19,1,97.941,885.43,"08:04",38.54
48,2018-01-22,1,112.466,1067.96,"08:41",43.02
48,2018-01-23,1,103.859,718.35,"08:49",40.73
48,2018-01-24,1,101.029,668.05,"08:49",41.33
48,2018-01-25,1,113.099,1229.11,"08:36",42.58
48,2018-01-26,1,100.881,685.54,"07:50",37.98
48,2018-01-29,1,106.561,985.72,"08:25",38.17
48,2018-01-30,1,105.075,1039.78,"08:09",45.23
48,2018-01-31,1,118.334,1045.31,"08:04",99.07
49,2018-01-02,1,88.078,391.15,"08:46",23.65
49,2018-01-03,1,71.8,287.42,"08:19",26.14
49,2018-01-04,1,69.935,483.44,"08:56",24.5
49,2018-01-05,1,81.77,411.72,"08:51",27.3
49,2018-01-08,1,62.674,547.3,"08:48",26.27
49,2018-01-09,1,68.964,445.85,"08:43",25.79
49,2018-01-10,1,75.929,546.92,"09:14",25.82
49,2018-01-11,1,59.972,590.06,"09:32",28.92
49,2018-01-12,1,74.727,471.87,"08:35",28.33
49,2018-01-15,1,78.659,480.36,"08:37",20.19
49,2018-01-16,1,61.211,416.1,"09:05",30.11
49,2018-01-18,1,72.442,473.1,"09:30",27.43
49,2018-01-19,1,62.555,395.73,"08:51",21.45
49,2018-01-22,1,68.239,383.8,"09:05",17.38
49,2018-01-23,1,75.32,687.86,"09:26",30.06
49,2018-01-24,1,65.278,451.91,"08:44",25.23
49,2018-01-25,1,73.635,516.9,"09:33",24.54
49,2018-01-26,1,68.213,266.96,"08:37",14.79
49,2018-01-29,1,72.246,294.87,"08:48",16.27
49,2018-01-30,1,59.301,435.1,"08:39",22.54
49,2018-01-31,1,67.969,558.21,"09:31",69.18
50,2018-01-02,1,293.584,771.45,"10:56",32.64
50,2018-01-03,1,83.507,1306.63,"11:54",48.15
50,2018-01-04,1,192.256,1247.94,"11:48",44.27
50,2018-01-05,1,50.297,375.57,"06:22",23.58
50,2018-01-08,1,68.367,990.85,"08:51",37.85
50,2018-01-09,1,137.875,1456.14,"12:40",45.56
50,2018-01-10,1,102.791,1069.87,"11:58",50.98
50,2018-01-11,1,64.157,843.75,"08:04",39.08
50,2018-01-12,1,112.181,967.42,"11:22",46.83
50,2018-01-15,1,77.927,1354.91,"08:29",37.16
50,2018-01-16,1,106.461,1050.29,"11:50",48.89
50,2018-01-17,1,88.469,927.35,"11:57",43.66
50,2018-01-18,1,64.893,875.36,"08:05",39.77
50,2018-01-19,1,56.388,905.12,"08:49",38.01
50,2018-01-22,1,45.62,235.38,"04:32",11.64
50,2018-01-23,1,176.02,292.25,"09:51",19.71
50,2018-01-24,1,156.72,174.03,"08:51",14.54
50,2018-01-25,1,64.759,156.68,"06:19",18.34
50,2018-01-26,1,57.403,161.48,"07:36",53.28
51,2018-01-02,1,29.114,700.4,"04:58",20.05
51,2018-01-03,1,19.566,992.6,"06:31",36.68
51,2018-01-04,1,22.257,1056.55,"07:42",34.76
51,2018-01-05,1,28.516,1387.7,"05:48",33.67
51,2018-01-08,1,24.623,561.8,"05:18",18.1
51,2018-01-09,1,31.802,1095.15,"06:22",34.87
51,2018-01-10,1,48.904,1085.65,"07:55",28.27
51,2018-01-11,1,27.199,1073.48,"05:37",21.57
51,2018-01-12,1,24.774,376.61,"02:42",15.91
51,2018-01-15,1,24.94,948.35,"05:53",30.04
51,2018-01-16,1,21.226,776.2,"05:41",21.68
51,2018-01-17,1,28.042,1182.25,"06:01",34.64
51,2018-01-18,1,31.799,1341.4,"06:12",31.56
51,2018-01-19,1,18.943,1127.95,"06:49",24.53
51,2018-01-22,1,36.93,357.25,"02:18",16.65
51,2018-01-23,1,27.473,1467.15,"06:04",36.87
51,2018-01-24,1,74.67,1992.55,"06:36",45.58
51,2018-01-25,1,41.576,1377.35,"05:31",36.3
51,2018-01-26,1,31.033,1014,"04:47",19.53
51,2018-01-29,1,23.306,751.95,"04:52",18.32
51,2018-01-30,1,36.655,956.65,"06:28",31.77
51,2018-01-31,1,25.238,1054.55,"06:31",30.83
52,2018-01-08,1,149.071,675,"10:42",19.05
53,2018-01-02,1,68.44,60.1,"06:54",7.69
53,2018-01-03,1,84.779,299.71,"09:37",31.79
53,2018-01-04,1,59.242,378.35,"08:16",15.8
53,2018-01-05,1,51.357,172.35,"04:44",12.29
53,2018-01-08,1,66.725,225.9,"08:58",17.88
53,2018-01-10,1,22.735,431.42,"09:24",20.55
53,2018-01-11,1,75.925,271,"07:28",21.15
53,2018-01-12,1,72.015,174.21,"07:17",17.74
53,2018-01-15,1,80.845,215.16,"08:31",13.36
53,2018-01-16,1,63.415,197.9,"06:54",20.38
53,2018-01-17,1,82.711,274.98,"09:28",19.89
53,2018-01-18,1,80.913,122.76,"08:29",15.44
53,2018-01-19,1,81.523,292.56,"07:25",15.63
53,2018-01-22,1,78.082,135.7,"09:25",12.05
53,2018-01-23,1,67.202,282.62,"07:14",16.4
53,2018-01-24,1,77.095,511.11,"08:26",24.38
53,2018-01-25,1,95.509,122.44,"09:20",19.8
53,2018-01-26,1,79.626,350.85,"07:24",16
53,2018-01-29,1,73.35,70.5,"08:33",8.21
53,2018-01-30,1,99.44,493.14,"09:23",26.72
53,2018-01-31,1,78.612,385.71,"09:24",59.05
54,2018-01-02,1,136.911,1239.75,"09:01",29.14
54,2018-01-03,1,146.485,1141.9,"09:03",35.27
54,2018-01-04,1,114.48,1570.63,"08:38",37.39
54,2018-01-05,1,132.386,1659.8,"08:29",43.82
54,2018-01-08,1,140.971,1617.5,"09:11",38.34
54,2018-01-09,1,139.066,1639.7,"09:12",45.63
54,2018-01-10,1,150.959,1068.2,"09:31",38.55
54,2018-01-11,1,85.223,1087.65,"09:14",37.65
54,2018-01-12,1,135.043,1043.75,"09:19",31.19
54,2018-01-15,1,122.846,820.8,"09:06",27.44
54,2018-01-16,1,128.302,1508.9,"09:05",39.97
54,2018-01-17,1,135.441,987.6,"09:24",32.68
54,2018-01-18,1,131.426,813.65,"08:49",33.84
54,2018-01-19,1,146.226,1102.15,"09:21",33.23
54,2018-01-22,1,132.779,844.35,"09:01",28.83
54,2018-01-23,1,146.062,1626.45,"09:24",44.52
54,2018-01-24,1,150.615,959.38,"09:34",38.97
54,2018-01-25,1,141.324,1318.15,"09:16",36.24
54,2018-01-26,1,127.409,1064.8,"09:17",36.02
55,2018-01-02,1,63.322,873.45,"08:53",34.42
55,2018-01-03,1,61.609,1063.6,"09:00",47.01
55,2018-01-04,1,50.527,1287.12,"09:14",52.35
55,2018-01-05,1,58.761,1355.23,"08:37",48.16
55,2018-01-08,1,52.223,1103.45,"08:54",40.46
55,2018-01-09,1,85.534,894.94,"11:37",48.92
55,2018-01-10,1,93.685,944.55,"10:43",47.45
55,2018-01-11,1,117.903,880.44,"10:52",47
55,2018-01-12,1,49.535,658.64,"08:22",40.05
55,2018-01-15,1,65.701,619.17,"08:51",35.41
55,2018-01-16,1,49.458,1257.5,"09:03",44.38
55,2018-01-17,1,85.92,863.58,"09:00",43.82
55,2018-01-18,1,121.633,1067.91,"11:38",48.61
55,2018-01-19,1,85.647,1293.65,"08:57",40.51
55,2018-01-23,1,38.458,276.27,"05:42",16.26
55,2018-01-29,1,131.483,1571.8,"11:22",36.8
55,2018-01-30,1,121.977,1490.6,"10:23",37.58
55,2018-01-31,1,179.744,1044,"10:14",83.92
56,2018-01-12,1,49.669,201.19,"07:11",19.36
56,2018-01-15,1,41.179,53.69,"07:14",14.91
56,2018-01-16,1,75.693,228.4,"09:21",24.35
56,2018-01-17,1,37.387,222.83,"08:00",19.79
56,2018-01-18,1,40.796,330.5,"07:03",18.55
56,2018-01-19,1,63.992,354.87,"09:34",22.01
56,2018-01-22,1,103.693,431.25,"08:31",22.79
56,2018-01-23,1,119.517,323.76,"09:38",23.61
56,2018-01-24,1,116.779,516.49,"09:59",26.58
56,2018-01-25,1,91.644,347.87,"08:05",25.31
56,2018-01-26,1,112.886,166.61,"06:28",14.53
56,2018-01-29,1,175.59,182.45,"10:33",11.66
56,2018-01-30,1,131.765,284.4,"09:47",23.2
56,2018-01-31,1,113.044,251,"08:54",44.36
57,2018-01-26,1,75.019,456.92,"08:06",28.47
57,2018-01-29,1,48.759,191.81,"04:31",15.42
57,2018-01-30,1,55.429,326.4,"07:23",29.16
57,2018-01-31,1,48.758,337.1,"07:35",28.44
58,2018-01-02,1,149.727,279.05,"07:56",13.97
58,2018-01-03,1,123.572,509.5,"13:32",26.74
58,2018-01-04,1,105.311,416.46,"09:24",22.56
58,2018-01-05,1,141.895,319.55,"10:43",24.01
58,2018-01-08,1,137.602,506.8,"11:12",24.9
58,2018-01-09,1,137.635,353.75,"11:34",27.67
58,2018-01-10,1,126.883,424.36,"10:37",27.44
58,2018-01-11,1,120.249,274.5,"11:09",26.79
58,2018-01-12,1,182.951,513.17,"12:33",26.52
58,2018-01-15,1,110.462,251.5,"10:07",26.03
58,2018-01-16,1,148.401,240.3,"09:39",23.48
58,2018-01-17,1,136.99,512.4,"10:37",24.17
58,2018-01-18,1,98.943,232.16,"10:43",29.22
58,2018-01-19,1,97.211,399.8,"10:57",21.48
58,2018-01-22,1,122.519,366.85,"12:23",29.9
58,2018-01-23,1,107.603,357.59,"10:37",27.21
58,2018-01-24,1,95.894,288.3,"09:28",27.07
58,2018-01-25,1,186.12,358.5,"12:04",23.05
58,2018-01-26,1,124.147,279.62,"10:19",24.57
58,2018-01-29,1,140.231,211.3,"10:55",19.86
58,2018-01-30,1,110.808,335.91,"11:17",31.29
58,2018-01-31,1,155.32,366.98,"12:00",68.41
59,2018-01-02,1,108.409,318.01,"08:31",23.69
59,2018-01-03,1,124.272,493.39,"09:37",39.69
59,2018-01-04,1,125.974,317.73,"10:07",30.16
59,2018-01-05,1,120.628,691.17,"08:52",31.49
59,2018-01-08,1,129.5,535.78,"09:40",33.06
59,2018-01-09,1,130.503,249.6,"10:41",30.88
59,2018-01-10,1,141.582,393.19,"09:46",36.14
59,2018-01-11,1,150.168,322.45,"10:08",31.69
59,2018-01-12,1,126.691,535.81,"09:31",32.23
59,2018-01-15,1,112.298,203.63,"10:01",26.86
59,2018-01-16,1,90.201,279.98,"09:40",32.91
59,2018-01-17,1,112.888,584.34,"09:41",34.87
59,2018-01-18,1,128.84,140.41,"09:06",24.9
59,2018-01-19,1,139.863,484.39,"09:27",25.48
59,2018-01-22,1,126.062,262.85,"09:05",19.27
59,2018-01-23,1,123.974,554.75,"09:40",32.65
59,2018-01-24,1,130.176,406.39,"09:27",33.28
59,2018-01-25,1,129.514,399.76,"09:28",32.01
59,2018-01-26,1,119.963,451.5,"08:05",25.9
59,2018-01-27,1,40,213.05,"03:48",12.18
59,2018-01-29,1,104.359,283.98,"07:32",27.32
59,2018-01-30,1,120.78,252.57,"08:33",29.33
59,2018-01-31,1,135.583,506.81,"09:30",96.87
60,2018-01-02,1,27.09,5812.04,"08:22",43.42
60,2018-01-03,1,41.876,8357.35,"08:29",49.36
60,2018-01-04,1,26.842,6154.9,"08:23",47.12
60,2018-01-05,1,23.506,3502.6,"08:20",29.21
60,2018-01-08,1,26.751,5569.6,"08:28",39.35
60,2018-01-09,1,35.026,13025.76,"09:45",68.69
60,2018-01-10,1,20.101,5578.15,"08:30",44.07
60,2018-01-11,1,38.507,5430.05,"08:38",41.9
60,2018-01-12,1,33.556,5631.05,"08:51",45.17
60,2018-01-15,1,33.642,6165.3,"09:01",42.8
60,2018-01-16,1,37.163,5072.45,"08:15",36.25
60,2018-01-17,1,34.195,3976.65,"08:32",33.2
60,2018-01-18,1,44.541,5680.4,"08:44",42.72
60,2018-01-19,1,25.905,3812.6,"09:01",28.01
60,2018-01-22,1,21.626,4868.55,"08:59",34.31
60,2018-01-23,1,36.364,5405.7,"08:32",34.84
60,2018-01-24,1,20.476,3801.65,"08:28",23.91
60,2018-01-25,1,38.254,6081.1,"09:08",40.73
60,2018-01-26,1,28.269,4981.65,"08:16",33.62
60,2018-01-29,1,20.544,5439.6,"08:24",36.39
60,2018-01-30,1,37.872,3820.75,"08:24",30.87
60,2018-01-31,1,21.244,2572.3,"08:25",20.94
61,2018-01-02,1,17.517,5531.6,"09:57",35.93
61,2018-01-03,1,22.389,5531.45,"09:13",50.55
61,2018-01-04,1,18.024,3965.35,"09:13",30.88
61,2018-01-05,1,85,5365.35,"09:05",39.06
61,2018-01-08,1,90,3503.6,"08:56",27.98
61,2018-01-09,1,15.362,4417.45,"08:09",38.39
61,2018-01-10,1,29.79,6771,"09:13",44.33
61,2018-01-11,1,85,6321.1,"09:06",44.5
61,2018-01-12,1,68,5381.35,"09:11",39.53
61,2018-01-15,1,21.372,3427.65,"08:41",29.96
61,2018-01-16,1,17.867,5478.7,"08:55",37.8
61,2018-01-17,1,17.205,4202.25,"09:33",34.58
61,2018-01-18,1,16.261,6266.75,"08:57",42.11
61,2018-01-19,1,20.946,3205.95,"08:59",28.63
61,2018-01-22,1,91,6303.22,"09:15",47.79
61,2018-01-23,1,86,4281.15,"08:16",32.62
61,2018-01-24,1,16.66,8378.65,"08:48",50.45
61,2018-01-25,1,16.747,4772.7,"09:05",34.74
61,2018-01-26,1,61,2781.59,"08:20",25.04
61,2018-01-29,1,15.87,2974.9,"09:10",22.81
61,2018-01-30,1,17.705,4597.7,"09:18",36.09
61,2018-01-31,1,18.583,5346.74,"09:19",37.11
62,2018-01-02,1,158,10602.64,"08:05",76.69
62,2018-01-03,1,16.701,7745.76,"08:24",56.75
62,2018-01-04,1,16.293,9949.46,"09:09",72.35
62,2018-01-05,1,115,4395.39,"08:44",38.87
62,2018-01-08,1,15.75,10447,"09:09",74.51
62,2018-01-10,1,24.687,9164.08,"08:31",65.94
62,2018-01-11,1,127,6875.07,"08:36",56.39
62,2018-01-12,1,23.459,5408.51,"08:44",50.61
62,2018-01-13,1,16.292,379,"01:31",5.22
62,2018-01-15,1,100,6605.51,"05:06",54.57
62,2018-01-16,1,127,7562.81,"08:57",57.24
62,2018-01-17,1,116,6392.03,"09:12",50.36
62,2018-01-18,1,94,4979.19,"05:43",37.49
62,2018-01-19,1,128,3144.38,"08:21",34.32
62,2018-01-22,1,15.702,5283.21,"08:48",40.48
62,2018-01-23,1,114,5578.87,"08:52",44.08
62,2018-01-24,1,115,3664.78,"09:04",33.77
62,2018-01-25,1,25.246,5736.7,"09:07",46.52
62,2018-01-26,1,112,5163.47,"08:25",41.95
62,2018-01-29,1,104,7606.54,"08:23",53.69
62,2018-01-30,1,19.6,7766.79,"09:25",59.1
62,2018-01-31,1,145,6412.5,"09:10",55.12
63,2018-01-02,1,51.069,1237.71,"08:41",18.86
63,2018-01-03,1,59.157,4771.8,"07:54",40.42
63,2018-01-04,1,33.879,3705.75,"07:29",30.93
63,2018-01-05,1,57.039,3778.8,"07:48",38.23
63,2018-01-08,1,47.365,2176.4,"09:21",28.53
63,2018-01-09,1,46.526,4729.95,"07:55",40.42
63,2018-01-10,1,37.787,3008.42,"08:26",31.14
63,2018-01-11,1,48.056,2557.12,"07:54",32.82
63,2018-01-12,1,48.067,2672.35,"07:45",36.06
63,2018-01-15,1,49.401,3392.8,"08:28",28.53
63,2018-01-16,1,54.965,2955,"08:51",31.99
63,2018-01-17,1,48.667,2725,"09:22",33.87
63,2018-01-18,1,150,1783.2,"08:12",21.95
